time_s,x_m,y_m,alt_m,lat,lon,RSRP_dBm,RSSI_dBm,RSRQ_dB,SINR_dB,Antenna_Gain_dB,source_plan,antenna_mode,tx_power_dBm,frequency_MHz,rx_gain_dBi,system_losses_dB,noise_floor_dBm,interference_floor_dBm,env_variation_strength_dB,env_variation_smoothness,antenna_omni_gain_dBi,antenna_dir_peak_gain_dBi,antenna_dir_az_bw_deg,antenna_dir_el_bw_deg,antenna_azimuth_deg,antenna_elevation_deg,bs_alt_m,ref_lat,ref_lon
0.0,0.0,0.0,95.0,52.6304782,1.1710553,-199.21963183992926,-171.43811933609283,-10.791812460476251,-102.43201585907181,-115.5,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.25,0.7071067811768865,0.7071067811962084,95.0,52.63048455201923,1.1710657654190126,-118.52537748166816,-90.74386497783172,-10.791812460476251,-21.737761500810713,-34.77626958768643,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.5,1.414213562353773,1.4142135623924168,95.0,52.63049090403847,1.1710762308380254,-112.41959987738893,-84.6380873735525,-10.791812460476251,-15.631983896531487,-28.757208571000064,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.75,2.12132034353066,2.121320343588625,95.0,52.6304972560577,1.1710866962570383,-109.02304469231038,-81.24153218847394,-10.791812460476251,-12.23542871145293,-25.237946965586943,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.0,2.828427124707546,2.8284271247848336,95.0,52.630503608076936,1.171097161676051,-106.58022701222072,-78.79871450838428,-10.791812460476251,-9.792611031363274,-22.74275869370615,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.25,3.5355339058844324,3.5355339059810422,95.0,52.63050996009617,1.1711076270950638,-104.63232774462764,-76.8508152407912,-10.791812460476251,-7.844711763770196,-20.809165247624037,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.5,4.24264068706132,4.24264068717725,95.0,52.630516312115404,1.1711180925140765,-103.19920750248167,-75.41769499864523,-10.791812460476251,-6.411591521624232,-19.231164248444628,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.75,4.949747468238206,4.949747468373459,95.0,52.63052266413464,1.1711285579330895,-101.72185073402824,-73.9403382301918,-10.791812460476251,-4.9342347531707995,-17.898865532884066,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.0,5.656854249415092,5.656854249569667,95.0,52.63052901615388,1.1711390233521022,-100.60947770021495,-72.82796519637851,-10.791812460476251,-3.821861719357518,-16.746672176407408,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.25,6.3639610305919785,6.363961030765876,95.0,52.63053536817311,1.171149488771115,-99.69963484503185,-71.91812234119541,-10.791812460476251,-2.9120188641744176,-15.7322704813229,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
