time_s,x_m,y_m,alt_m,lat,lon,RSRP_dBm,RSSI_dBm,RSRQ_dB,SINR_dB,Antenna_Gain_dB,source_plan,antenna_mode,tx_power_dBm,frequency_MHz,rx_gain_dBi,system_losses_dB,noise_floor_dBm,interference_floor_dBm,env_variation_strength_dB,env_variation_smoothness,antenna_omni_gain_dBi,antenna_dir_peak_gain_dBi,antenna_dir_az_bw_deg,antenna_dir_el_bw_deg,antenna_azimuth_deg,antenna_elevation_deg,bs_alt_m,ref_lat,ref_lon
0.0,0.0,0.0,45.0,52.6304782,1.1710553,-190.41168190551593,-162.6301694016795,-10.791812460476251,-93.62406592465851,-115.5,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.25,0.7071067811768865,0.7071067811962084,45.0,52.63048455201923,1.1710657654190126,-102.99562567815896,-75.21411317432252,-10.791812460476251,-6.208009697301514,-27.967447089573085,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.5,1.414213562353773,1.4142135623924168,45.0,52.63049090403847,1.1710762308380254,-97.01054635474023,-69.22903385090379,-10.791812460476251,-0.22293037388278594,-21.95422269157134,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.75,2.12132034353066,2.121320343588625,45.0,52.6304972560577,1.1710866962570383,-93.47572909464739,-65.69421659081095,-10.791812460476251,3.3118868862100466,-18.444662260760367,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.0,2.828427124707546,2.8284271247848336,45.0,52.630503608076936,1.171097161676051,-90.89002688877511,-63.10851438493867,-10.791812460476251,5.897589092082338,-15.963000196046536,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.25,3.5355339058844324,3.5355339059810422,45.0,52.63050996009617,1.1711076270950638,-89.01922216949298,-61.23770966565654,-10.791812460476251,7.768393811364458,-14.046703318642578,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.5,4.24264068706132,4.24264068717725,45.0,52.630516312115404,1.1711180925140765,-87.41696466067732,-59.635452156840884,-10.791812460476251,9.370651320180112,-12.489700043143046,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.75,4.949747468238206,4.949747468373459,45.0,52.63052266413464,1.1711285579330895,-85.93209915675973,-58.150586652923295,-10.791812460476251,10.855516824097702,-11.182017240509264,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.0,5.656854249415092,5.656854249569667,45.0,52.63052901615388,1.1711390233521022,-84.61043011453316,-56.82891761069672,-10.791812460476251,12.177185866324276,-10.057962174015211,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.25,6.3639610305919785,6.363961030765876,45.0,52.63053536817311,1.171149488771115,-83.5177864024557,-55.73627389861926,-10.791812460476251,13.269829578401744,-9.075113516065372,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.5,7.071067811768865,7.0710678119620844,45.0,52.63054172019235,1.1711599541901276,-82.7588218292189,-54.977309325382464,-10.791812460476251,14.02879415163854,-8.204459080098678,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.75,7.778174592945752,7.778174593158292,45.0,52.63054807221158,1.1711704196091406,-81.84107538530617,-54.05956288146973,-10.791812460476251,14.946540595551276,-7.425259842185959,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.0,8.48528137412264,8.4852813743545,45.0,52.630554424230816,1.1711808850281533,-81.07132834133267,-53.289815837496235,-10.791812460476251,15.716287639524769,-6.722158782670725,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.25,9.192388155299525,9.19238815555071,45.0,52.63056077625005,1.171191350447166,-80.54453222710718,-52.763019723270745,-10.791812460476251,16.243083753750263,-6.083451494099121,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.5,9.899494936476412,9.899494936746917,45.0,52.630567128269284,1.1712018158661788,-79.9561700059967,-52.17465750216026,-10.791812460476251,16.831445974860742,-5.49999999995657,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.75,10.606601717653298,10.606601717943127,45.0,52.63057348028852,1.1712122812851917,-79.51735306945926,-51.73584056562282,-10.791812460476251,17.270262911398184,-4.964522650092338,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.0,10.245090027275536,11.538925405221288,45.0,52.63058185545639,1.1712069307901625,-79.05818863692522,-51.276676133088785,-10.791812460476251,17.729427343932223,-4.74712438443785,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.25,9.883505009215968,12.471264546690133,45.0,52.63059023076308,1.1712015792098587,-78.67990045784381,-50.898387954007376,-10.791812460476251,18.107715523013628,-4.512610941825178,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.5,9.521919991156402,13.403603688158977,45.0,52.63059860606978,1.171196227629555,-78.44214295711535,-50.66063045327891,-10.791812460476251,18.345473023742088,-4.265361415293434,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.75,9.160334973096834,14.335942829627822,45.0,52.63060698137648,1.1711908760492513,-78.6611575098816,-50.879645006045166,-10.791812460476251,18.12645847097584,-4.009350772213734,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
5.0,8.798749955037266,15.268281971096666,45.0,52.63061535668317,1.1711855244689477,-78.5021098321178,-50.72059732828136,-10.791812460476251,18.28550614873965,-3.7480612528421666,SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
