time_s,x_m,y_m,alt_m,lat,lon,RSRP_dBm,RSSI_dBm,RSRQ_dB,SINR_dB,Antenna_Gain_dB,source_plan,antenna_mode,tx_power_dBm,frequency_MHz,rx_gain_dBi,system_losses_dB,noise_floor_dBm,interference_floor_dBm,env_variation_strength_dB,env_variation_smoothness,antenna_omni_gain_dBi,antenna_dir_peak_gain_dBi,antenna_dir_az_bw_deg,antenna_dir_el_bw_deg,antenna_azimuth_deg,antenna_elevation_deg,bs_alt_m,ref_lat,ref_lon
0.0,0.0,0.0,85.0,52.6304782,1.1710553,-192.89623867216338,-165.11472616832694,-10.791812460476251,-96.10862269130594,-115.5,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.25,0.7071067811768865,0.7071067811962084,85.0,52.63048455201923,1.1710657654190126,-111.16530557536345,-83.38379307152701,-10.791812460476251,-14.377689594506009,-33.776922857538096,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.5,1.414213562353773,1.4142135623924168,85.0,52.63049090403847,1.1710762308380254,-105.30526353507679,-77.52375103124035,-10.791812460476251,-8.51764755421934,-27.7582599073141,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.75,2.12132034353066,2.121320343588625,85.0,52.6304972560577,1.1710866962570383,-101.77927909574674,-73.9977665919103,-10.791812460476251,-4.991663114889296,-24.239661047037227,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.0,2.828427124707546,2.8284271247848336,85.0,52.630503608076936,1.171097161676051,-99.15991491137231,-71.37840240753587,-10.791812460476251,-2.3722989305148627,-21.745399136964473,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.25,3.5355339058844324,3.5355339059810422,85.0,52.63050996009617,1.1711076270950638,-97.17709807703437,-69.39558557319793,-10.791812460476251,-0.3894820961769342,-19.812994193521092,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.5,4.24264068706132,4.24264068717725,85.0,52.630516312115404,1.1711180925140765,-95.68306867092521,-67.90155616708877,-10.791812460476251,1.1045473099322392,-18.236441950927983,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.75,4.949747468238206,4.949747468373459,85.0,52.63052266413464,1.1711285579330895,-94.32678138313207,-66.54526887929563,-10.791812460476251,2.4608345977253694,-16.905849955178166,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.0,5.656854249415092,5.656854249569667,85.0,52.63052901615388,1.1711390233521022,-93.09298419912352,-65.31147169528708,-10.791812460476251,3.6946317817339214,-15.75561859615689,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.25,6.3639610305919785,6.363961030765876,85.0,52.63053536817311,1.171149488771115,-91.95822682280446,-64.17671431896802,-10.791812460476251,4.829389158052972,-14.74343110624218,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.5,7.071067811768865,7.0710678119620844,85.0,52.63054172019235,1.1711599541901276,-91.17761334200277,-63.39610083816633,-10.791812460476251,5.610002638854663,-13.840390181298307,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.75,7.778174592945752,7.778174593158292,85.0,52.63054807221158,1.1711704196091406,-90.45224124029276,-62.670728736456326,-10.791812460476251,6.335374740564673,-13.025880821289906,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.0,8.48528137412264,8.4852813743545,85.0,52.630554424230816,1.1711808850281533,-89.8436824099166,-62.06216990608016,-10.791812460476251,6.943933570940838,-12.28467794372915,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.25,9.192388155299525,9.19238815555071,85.0,52.63056077625005,1.171191350447166,-89.37624232315206,-61.59472981931562,-10.791812460476251,7.4113736577053935,-11.605215738627997,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.5,9.899494936476412,9.899494936746917,85.0,52.630567128269284,1.1712018158661788,-88.70982825514609,-60.928315751309654,-10.791812460476251,8.07778772571135,-10.978500230849491,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.75,10.606601717653298,10.606601717943127,85.0,52.63057348028852,1.1712122812851917,-88.29411587052682,-60.512603366690385,-10.791812460476251,8.493500110330617,-10.39739793554676,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.0,10.245090027275536,11.538925405221288,85.0,52.63058185545639,1.1712069307901625,-88.04106536873523,-60.259552864898794,-10.791812460476251,8.746550612122217,-10.159655900487609,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.25,9.883505009215968,12.471264546690133,85.0,52.63059023076308,1.1712015792098587,-87.87991118566632,-60.09839868182988,-10.791812460476251,8.907704795191123,-9.901908410680495,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.5,9.521919991156402,13.403603688158977,85.0,52.63059860606978,1.171196227629555,-87.5461443460874,-59.764631842250964,-10.791812460476251,9.24147163477004,-9.628618329751516,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.75,9.160334973096834,14.335942829627822,85.0,52.63060698137648,1.1711908760492513,-87.24402245090322,-59.46250994706678,-10.791812460476251,9.543593529954233,-9.34385492665965,SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,omni,2.0,2600.0,0.0,1.25,-97.0,-110.0,5.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
