time_s,x_m,y_m,alt_m,lat,lon,RSRP_dBm,RSSI_dBm,RSRQ_dB,SINR_dB,Antenna_Gain_dB,source_plan,antenna_mode,tx_power_dBm,frequency_MHz,rx_gain_dBi,system_losses_dB,noise_floor_dBm,interference_floor_dBm,env_variation_strength_dB,env_variation_smoothness,antenna_omni_gain_dBi,antenna_dir_peak_gain_dBi,antenna_dir_az_bw_deg,antenna_dir_el_bw_deg,antenna_azimuth_deg,antenna_elevation_deg,bs_alt_m,ref_lat,ref_lon
0.0,0.0,0.0,55.0,52.6304782,1.1710553,-157.44556296440888,-129.66405046057244,-10.791812460476251,-60.657946983551426,-94.09765820799473,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.25,0.7071067811768865,0.7071067811962084,55.0,52.63048455201923,1.1710657654190126,-160.1216084914851,-132.34009598764865,-10.791812460476251,-63.33399251062764,-97.36190122477177,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.5,1.414213562353773,1.4142135623924168,55.0,52.63049090403847,1.1710762308380254,-157.67299103026505,-129.8914785264286,-10.791812460476251,-60.885375049407614,-94.83046707415718,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.75,2.12132034353066,2.121320343588625,55.0,52.6304972560577,1.1710866962570383,-156.32216801282007,-128.54065550898363,-10.791812460476251,-59.53455203196263,-92.30309881725802,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.0,2.828427124707546,2.8284271247848336,55.0,52.630503608076936,1.171097161676051,-155.10095165613183,-127.31943915229539,-10.791812460476251,-58.31333567527439,-89.79597915786691,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.25,3.5355339058844324,3.5355339059810422,55.0,52.63050996009617,1.1711076270950638,-152.25555722634834,-124.4740447225119,-10.791812460476251,-55.46794124549089,-87.31866089825019,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.5,4.24264068706132,4.24264068717725,55.0,52.630516312115404,1.1711180925140765,-149.7665356605861,-121.98502315674966,-10.791812460476251,-52.97891967972866,-84.87695780654794,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.75,4.949747468238206,4.949747468373459,55.0,52.63052266413464,1.1711285579330895,-149.12788953606582,-121.34637703222938,-10.791812460476251,-52.340273555208384,-82.47457841032168,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.0,5.656854249415092,5.656854249569667,55.0,52.63052901615388,1.1711390233521022,-146.42320537854238,-118.64169287470594,-10.791812460476251,-49.63558939768493,-80.11402420032506,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.25,6.3639610305919785,6.363961030765876,55.0,52.63053536817311,1.171149488771115,-144.2294128941986,-116.44790039036215,-10.791812460476251,-47.44179691334114,-77.79707779457516,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.5,7.071067811768865,7.0710678119620844,55.0,52.63054172019235,1.1711599541901276,-142.14991240300296,-114.36839989916652,-10.791812460476251,-45.36229642214552,-75.5250676925412,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.75,7.778174592945752,7.778174593158292,55.0,52.63054807221158,1.1711704196091406,-141.23333569002207,-113.45182318618563,-10.791812460476251,-44.445719709164635,-73.29901257228286,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.0,8.48528137412264,8.4852813743545,55.0,52.630554424230816,1.1711808850281533,-140.02031352986887,-112.23880102603243,-10.791812460476251,-43.23269754901142,-71.11970094627645,SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
