time_s,x_m,y_m,alt_m,lat,lon,RSRP_dBm,RSSI_dBm,RSRQ_dB,SINR_dB,Antenna_Gain_dB,source_plan,antenna_mode,tx_power_dBm,frequency_MHz,rx_gain_dBi,system_losses_dB,noise_floor_dBm,interference_floor_dBm,env_variation_strength_dB,env_variation_smoothness,antenna_omni_gain_dBi,antenna_dir_peak_gain_dBi,antenna_dir_az_bw_deg,antenna_dir_el_bw_deg,antenna_azimuth_deg,antenna_elevation_deg,bs_alt_m,ref_lat,ref_lon
0.0,0.0,0.0,15.0,52.6304782,1.1710553,-134.13585785401276,-106.35434535017632,-10.791812460476251,-37.34824187315532,-94.09765820799473,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.25,0.7071067811768865,0.7071067811962084,15.0,52.63048455201923,1.1710657654190126,-128.13908586889562,-100.35757336505918,-10.791812460476251,-31.35146988803818,-88.96655089372997,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.5,1.414213562353773,1.4142135623924168,15.0,52.63049090403847,1.1710762308380254,-117.81245241440921,-90.03093991057277,-10.791812460476251,-21.024836433551766,-78.56445854315793,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.75,2.12132034353066,2.121320343588625,15.0,52.6304972560577,1.1710866962570383,-108.06340949968549,-80.28189699584905,-10.791812460476251,-11.275793518828046,-68.98773622591744,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.0,2.828427124707546,2.8284271247848336,15.0,52.630503608076936,1.171097161676051,-99.47826907881,-71.69675657497356,-10.791812460476251,-2.690653097952556,-60.304423501369065,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.25,3.5355339058844324,3.5355339059810422,15.0,52.63050996009617,1.1711076270950638,-91.50920617804982,-63.727693674213384,-10.791812460476251,5.2784098028076265,-52.52365575769006,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.5,4.24264068706132,4.24264068717725,15.0,52.630516312115404,1.1711180925140765,-84.25956470178767,-56.47805219795123,-10.791812460476251,12.528051279069778,-45.6177809164564,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.75,4.949747468238206,4.949747468373459,15.0,52.63052266413464,1.1711285579330895,-78.47559682688792,-50.694084323051484,-10.791812460476251,18.312019153969523,-39.533377745946034,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.0,5.656854249415092,5.656854249569667,15.0,52.63052901615388,1.1711390233521022,-73.45982410483752,-45.678311601001084,-10.791812460476251,23.327791876019923,-34.20119064533262,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.25,6.3639610305919785,6.363961030765876,15.0,52.63053536817311,1.171149488771115,-69.56755034167105,-41.78603783783461,-10.791812460476251,27.220065639186394,-29.544538835650535,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.5,7.071067811768865,7.0710678119620844,15.0,52.63054172019235,1.1711599541901276,-65.5618158918957,-37.78030338805927,-10.791812460476251,31.225800088961737,-25.485671881428722,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.75,7.778174592945752,7.778174593158292,15.0,52.63054807221158,1.1711704196091406,-62.01107495017253,-34.22956244633609,-10.791812460476251,34.77654103068492,-21.95006198555882,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.0,8.48528137412264,8.4852813743545,15.0,52.630554424230816,1.1711808850281533,-59.859406324225674,-32.077893820389235,-10.791812460476251,36.92820965663177,-18.86894866382673,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.25,9.192388155299525,9.19238815555071,15.0,52.63056077625005,1.171191350447166,-57.58493154305479,-29.803419039218358,-10.791812460476248,39.20268443780265,-16.180567277508842,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.5,9.899494936476412,9.899494936746917,15.0,52.630567128269284,1.1712018158661788,-55.79107741606951,-28.009564912233078,-10.791812460476248,40.996538564787926,-13.830476842694358,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.75,10.606601717653298,10.606601717943127,15.0,52.63057348028852,1.1712122812851917,-53.72764330043968,-25.946130796603246,-10.791812460476248,43.05997268041776,-11.771326336988277,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.0,10.245090027275536,11.538925405221288,15.0,52.63058185545639,1.1712069307901625,-53.54875889504599,-25.767246391209557,-10.791812460476248,43.238857085811446,-11.868468597303353,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.25,9.883505009215968,12.471264546690133,15.0,52.63059023076308,1.1712015792098587,-53.81998199727089,-26.03846949343445,-10.791812460476248,42.96763398358656,-11.929310789475998,SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
